p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ATP5G1	3.72237733174237e-14	-0.041439818056431	0.417	0.458	1.29237218580763e-09
ATP5G2	0	-0.482569219863739	0.73	0.762	0
ATP5G3	2.4702132949554e-05	-0.0563229624679857	0.607	0.597	0.857633353875566
ATP5J2	1.2164984934794e-14	0.124297537024247	0.679	0.663	4.22356111951114e-10
ATP6AP1	5.82563599587558e-49	0.0912079365338482	0.316	0.237	2.02260256140804e-44
ATP6AP2	0.0293428195971096	-0.0740255146827246	0.437	0.417	1
ATP6V0A1	3.37575561669282e-150	0.167688059672266	0.208	0.098	1.17202859255958e-145
ATP6V0B	6.66000541948705e-36	0.190924467705603	0.645	0.564	2.31228728159171e-31
ATP6V0E1	7.77413329210743e-27	0.117912702748767	0.861	0.764	2.69910133768678e-22
ATP6V0E2	4.87984984780494e-141	-0.140018508095624	0.083	0.168	1.6942350686594e-136
ATP8B1	1.49910550510034e-150	0.170685005361308	0.246	0.128	5.20474440315788e-146
ATP9A	5.73826316471132e-36	0.0787115360680912	0.22	0.164	1.99226758815612e-31
ATRAID	0.0924148224234227	-0.0461836521016931	0.514	0.497	1
ATRX	9.42145250756553e-16	0.0531774680992912	0.416	0.36	3.27103409610167e-11
ATXN3	3.02238635789835e-31	-0.0810121627027115	0.14	0.184	1.04934231959873e-26
AUP1	3.49565796354364e-94	0.140994599296694	0.461	0.34	1.21365748836272e-89
AVL9	3.73350153739434e-122	0.133859432523331	0.17	0.079	1.29623439876794e-117
B2M	0	1.5388757863656	0.998	0.998	0
B3GALT4	3.95938372397766e-66	0.0751068528579997	0.104	0.05	1.3746584351278e-61
B3GALT5	0.00881267883601821	0.0378897797520309	0.172	0.163	1
B3GAT3	0.210814817701175	-0.0183309989021954	0.162	0.166	1
B3GNT2	2.69310151373984e-46	0.075279489152921	0.16	0.104	9.35017914555333e-42
B3GNT3	0	0.358870395748442	0.255	0.011	0
B3GNT5	6.19288601313645e-111	0.142718078625804	0.2	0.105	2.15010809490084e-106
B3GNT7	1.41035949339889e-63	0.095643314061951	0.148	0.085	4.89662712513159e-59
B4GALNT3	5.43928042271307e-192	0.154491814263904	0.133	0.033	1.88846376996175e-187
B4GALT1	3.79130576021237e-64	0.148252469321168	0.291	0.207	1.31630344688813e-59
B4GALT2	7.06891307095146e-48	0.0649172267140361	0.107	0.06	2.45425592910364e-43
B4GALT3	5.46891518063219e-44	0.0669293023424846	0.142	0.09	1.89875266156369e-39
B4GALT4	4.39162565251002e-226	0.262283097245838	0.318	0.162	1.52472851029495e-221
B4GALT5	5.98165657144462e-127	0.145160309084837	0.303	0.18	2.07677134503986e-122
B4GALT7	3.58855912213331e-23	0.0446645652190718	0.119	0.085	1.24591184161346e-18
BACE1	1.6252038250685e-229	-0.126537161496936	0.036	0.12	5.64254516025534e-225
BACE2	0	0.741940316361881	0.566	0.184	0
BAK1	1.45542179309281e-106	0.102332431287106	0.112	0.042	5.05307892343892e-102
BAMBI	3.91510007947788e-79	-0.118777043422812	0.113	0.183	1.35928359659392e-74
BAX	6.71781188052688e-48	0.0846673267308115	0.348	0.264	2.33235710680013e-43
BCAM	0	-0.33276704498537	0.155	0.353	0
BCAP29	5.01490357867211e-21	0.0483851623610601	0.186	0.145	1.74112437347917e-16
BCAP31	2.88981059604784e-76	0.155513276241262	0.627	0.511	1.00331334084185e-71
BCL2L1	8.28342322062338e-105	0.189549517441098	0.459	0.34	2.87592170796823e-100
BCL2L13	3.18481125850406e-27	0.0516449589183501	0.128	0.09	1.10573462084003e-22
BET1	3.11071754163808e-14	0.0400084005503869	0.222	0.186	1.08001002328133e-09
BET1L	1.08154646759283e-43	0.0695398609415022	0.138	0.087	3.75502118083556e-39
BFAR	7.5389231490538e-272	0.243885595355095	0.326	0.151	2.61743872811999e-267
BIK	0	0.462964218449956	0.361	0.074	0
BIRC6	5.4401028323977e-65	0.117371226448109	0.228	0.152	1.88874930238016e-60
BLCAP	2.00790782451607e-230	0.222248532435513	0.273	0.122	6.97125517593735e-226
BMP2	4.31976510394881e-12	0.0516679817509004	0.238	0.203	1.49977924643999e-07
BMPR2	6.59996542844975e-89	0.126064424745869	0.215	0.128	2.29144199710347e-84
BNIP2	2.75476296556059e-20	0.0543377028955806	0.17	0.132	9.56426154012982e-16
BNIP3	2.96651949003778e-83	-0.0985739280551796	0.088	0.154	1.02994590174622e-78
BNIP3L	0	0.418095095682538	0.389	0.184	0
BOK	1.21069126356662e-88	0.0909019544500279	0.125	0.056	4.20339899797696e-84
BRI3	0	0.659781818517115	0.705	0.445	0
BRI3BP	1.13917869128109e-171	0.160922490146978	0.16	0.056	3.95511449825882e-167
BSG	0	0.495296147394292	0.755	0.522	0
BST2	0	0.698640677576373	0.534	0.232	0
BTN2A1	1.20978359455058e-60	0.0762875581798675	0.104	0.052	4.20024766192016e-56
BTN3A2	1.9011963642411e-275	0.241552156759613	0.181	0.044	6.60076365700868e-271
C10orf54	4.35202400616357e-76	0.133516521479005	0.184	0.109	1.51097921469993e-71
C11orf24	2.01636164443761e-109	0.108025835817348	0.123	0.048	7.00060599332292e-105
C11orf83	5.200537715487e-07	0.0269683577655246	0.289	0.262	0.0180557468943993
C12orf23	1.26882646732064e-39	0.0715718383556339	0.129	0.083	4.40523861189054e-35
C12orf49	4.45327095489887e-58	0.101724213683431	0.121	0.066	1.54613114283134e-53
C14orf1	3.56330578998008e-18	0.0649364129066264	0.281	0.24	1.23714413722318e-13
C14orf2	2.51687702364685e-10	-0.0629975117624482	0.665	0.678	8.73834533839948e-06
C15orf48	0	2.04209145212001	0.588	0.107	0
C15orf61	0.451074813541662	0.000556937409565472	0.17	0.166	1
C16orf58	9.14480857993984e-34	0.0555353835468154	0.124	0.081	3.17498609086931e-29
C16orf91	1.51998184289565e-34	0.0633531581432055	0.118	0.076	5.27722496034939e-30
C17orf62	1.56105141198266e-103	0.112515577217537	0.144	0.065	5.41981439726259e-99
C18orf32	0.0163609196890142	0.0169500861421847	0.23	0.218	1
C19orf24	4.74924212445203e-201	0.220515310715925	0.356	0.201	1.6488893731885e-196
C19orf77	0	0.616974271624943	0.246	0.012	0
C1GALT1C1	6.41512508102294e-08	0.0254834767777578	0.165	0.142	0.00222726727688036
C1orf186	2.23042724138935e-103	0.156735788114342	0.1	0.035	7.74382033937968e-99
C1orf210	3.29271601921348e-43	0.0696616896812467	0.135	0.085	1.14319807471073e-38
C1orf27	5.93013177888791e-19	0.0463120289126365	0.137	0.104	2.0588824523121e-14
C1orf43	8.55484436261363e-302	0.301831021171937	0.572	0.363	2.97015641425582e-297
C1orf85	6.05117965479146e-23	0.0486152753814031	0.122	0.087	2.10090906434705e-18
C20orf24	0	0.45840497224272	0.45	0.217	0
C3	0.08174807919562	0.143702722624122	0.254	0.274	1
C3orf52	7.56133973016948e-86	0.0897681527728003	0.136	0.065	2.62522154091754e-81
C4BPB	0	0.227918027919946	0.142	0.011	0
C4orf3	1.5746477698884e-97	0.274676416791874	0.678	0.565	5.46701959227554e-93
C5orf15	0.00424115685649151	0.00528656000383904	0.256	0.239	1
C6orf136	1.98808127453095e-40	-0.0666060514661285	0.085	0.128	6.90241937704402e-36
C6orf89	1.1270504759919e-05	0.0161430994547474	0.185	0.165	0.391300654759628
C9orf89	1.72780522222858e-116	0.134688230929929	0.198	0.102	5.99876695105541e-112
CA12	4.96109115930238e-281	0.263909472919959	0.168	0.035	1.72244123959819e-276
CA4	0	-0.770267137368138	0.034	0.401	0
CA9	0	0.644034003278505	0.249	0.018	0
CACFD1	0.000402867410119108	0.0109149581948437	0.111	0.099	1
CADM1	0	-0.390774788315157	0.07	0.303	0
CALR	0	0.536221055002448	0.789	0.557	0
CALU	0	0.398717054273125	0.356	0.126	0
CAMK2D	1.95738450461914e-242	0.215394130868223	0.227	0.084	6.79584326158718e-238
CAMK2G	2.03724779332826e-118	0.118107161575892	0.129	0.05	7.07312061365637e-114
CAMLG	2.04375550337596e-121	0.199518486272463	0.389	0.267	7.09571473217101e-117
CANT1	2.06861297716209e-213	0.194295785141715	0.226	0.091	7.18201739540907e-209
CANX	0	0.597222719726262	0.749	0.478	0
CAPNS1	3.76358834811739e-149	0.248096271667761	0.516	0.371	1.30668023858288e-144
CASC4	4.40994072806964e-232	0.244240891796005	0.36	0.193	1.5310873213785e-227
CASK	5.22729289813992e-296	0.2296110339787	0.224	0.067	1.8148638213052e-291
CASP7	5.41119532322413e-28	0.0604454407292982	0.178	0.133	1.87871290427018e-23
CAV1	1.17089797403098e-247	-0.225441528457933	0.223	0.389	4.06524067603817e-243
CAV2	0	-0.389593943245407	0.485	0.643	0
CCDC107	1.26404738420735e-83	0.177423186541476	0.347	0.247	4.38864611322949e-79
CCDC109B	1.49185253807324e-250	0.161866885388426	0.111	0.008	5.17956282693649e-246
CCDC112	7.78384767737371e-60	0.0854614324078738	0.129	0.072	2.70247407510738e-55
CCDC167	3.86620422178877e-14	0.0380329152749292	0.153	0.123	1.34230744376284e-09
CCDC47	3.45462266339459e-26	0.0699019225459234	0.359	0.3	1.19941044250397e-21
CCDC90B	7.14371472225319e-63	0.100398354478325	0.268	0.186	2.48022631441909e-58
CCL15	1.35404893885847e-198	0.15613502111826	0.1	0.012	4.70112251082273e-194
CCPG1	2.19589013603493e-28	0.0934563461459797	0.299	0.244	7.62391096329969e-24
CCT4	2.16407125555574e-73	0.143134002959559	0.441	0.337	7.51343899216397e-69
CD151	0	0.484707743391497	0.75	0.553	0
CD164	0	0.484496466723323	0.716	0.521	0
CD24	0.923743676796322	0.25123963319529	0.159	0.162	1
CD276	2.39809003679681e-11	0.0240526769288649	0.104	0.082	8.32592879875485e-07
CD320	3.58145943555249e-278	-0.436597604455532	0.151	0.297	1.24344690142947e-273
CD36	0	-0.231832144911895	0.016	0.11	0
CD40	6.15367812561153e-29	0.0649622857275526	0.134	0.094	2.13649550843107e-24
CD44	3.4928917477505e-20	-0.11663463322465	0.633	0.63	1.21269708590149e-15
CD46	0	0.509856998666935	0.631	0.364	0
CD47	1.08924129604935e-299	0.364953997546675	0.577	0.376	3.78173685575374e-295
CD52	2.23386357227429e-282	0.431863214612595	0.163	0.032	7.7557509365791e-278
CD55	0	1.69427553179051	0.59	0.143	0
CD58	1.40680369959557e-53	0.0979648432387905	0.21	0.143	4.88428176462585e-49
CD59	1.2963204489203e-189	-0.248126143995816	0.866	0.877	4.50069496660638e-185
CD63	0.00021005561590443	0.135696768210682	0.962	0.976	1
CD68	0	0.321119824373496	0.236	0.041	0
CD74	1.2874806440918e-215	0.92158629279996	0.752	0.699	4.47000404822232e-211
CD81	0	-0.598767421621645	0.431	0.71	0
CD82	0	0.662908416897166	0.473	0.107	0
CD9	2.86535790035807e-47	0.282832859720599	0.734	0.666	9.94823609425317e-43
CD97	0	0.216655056134868	0.161	0.021	0
CD99	2.30386699622633e-281	0.352166707648361	0.488	0.293	7.99879582419819e-277
CDCP1	0	0.491488011174895	0.35	0.061	0
CDH1	6.81288122027402e-188	0.323160938323694	0.59	0.452	2.36536423086694e-183
CDH17	2.20752688736857e-245	0.22273492653143	0.112	0.009	7.66431260025495e-241
CDH3	6.96167437851915e-269	0.19087730247085	0.127	0.013	2.41702372747806e-264
CDHR2	0	0.242623423605462	0.145	0.005	0
CDHR5	0	0.279987509526921	0.159	0.007	0
CDIPT	1.0575086997557e-19	-0.0842888028394094	0.229	0.266	3.6715644546818e-15
CDS1	6.0101195464959e-128	0.138003842413571	0.197	0.097	2.08665340534791e-123
CDS2	2.35076727864016e-09	-0.0361681092949376	0.11	0.131	8.16162891471077e-05
CEACAM1	0	0.399559925232511	0.225	0.028	0
CEACAM5	0	1.79558596002397	0.315	0.002	0
CEACAM6	0	2.43264414009222	0.569	0.029	0
CEACAM7	2.10648180702271e-177	0.468905319910061	0.113	0.025	7.31349418580214e-173
CEBPZ-AS1	0.594427702322808	-0.0088278129917157	0.215	0.216	1
CEP95	0.405639585166566	0.00761209804583704	0.114	0.111	1
CEPT1	0.000663948947552146	0.0140352672524251	0.104	0.093	1
CERS2	1.07007480393567e-24	0.0532879850920531	0.35	0.289	3.71519271178425e-20
CERS4	0	-0.160543144462789	0.025	0.134	0
CERS6	0	0.259880818136952	0.259	0.09	0
CES1	1.69038147770343e-192	-0.117695045701785	0.046	0.128	5.86883545243855e-188
CES2	0	0.497886637141965	0.289	0.091	0
CFH	1.70551524770022e-259	0.265259689359716	0.179	0.046	5.92137838849038e-255
CFTR	0	-1.82024588945497	0.183	0.79	0
CGN	1.02760609039255e-296	0.286075769462106	0.315	0.137	3.5677455852339e-292
CHIC2	2.68187040533169e-05	0.0173027425941095	0.198	0.178	0.931118586027109
CHPT1	5.78783579442797e-156	0.236889745904871	0.278	0.155	2.00947870946745e-151
CHST15	5.31546058278052e-93	-0.0952998094091106	0.067	0.129	1.84547475973557e-88
CHST9	0	-0.297273645770438	0.029	0.217	0
CISD1	1.34153766755603e-13	-0.0791070902574235	0.279	0.309	4.65768462798779e-09
CISD2	1.04208317749277e-197	0.226346307445698	0.39	0.234	3.61800858393716e-193
CKAP4	2.08921542555936e-85	0.126777816016172	0.201	0.119	7.25354703599952e-81
CKLF	0	0.571353803979425	0.515	0.266	0
CLCN3	6.43336100823895e-40	0.0922229930229904	0.328	0.259	2.23359860845048e-35
CLCN7	5.36766797410745e-36	0.0586287258739093	0.109	0.068	1.86360064393037e-31
CLDN10	0	-1.73038683931616	0.396	0.826	0
CLDN1	6.96292989436201e-52	-0.217391460449096	0.424	0.484	2.41745963002355e-47
CLDN12	1.29245368951044e-295	0.253195733939193	0.254	0.09	4.48726996461129e-291
CLDN15	1.8699107080814e-192	0.336182864541385	0.206	0.086	6.49214298738782e-188
CLDN18	0	2.23833395354817	0.459	0.013	0
CLDN23	0	0.614380575724637	0.271	0.092	0
CLDN3	0	-0.527252881748345	0.335	0.609	0
CLDN4	0	0.740837402864287	0.78	0.549	0
CLDN7	1.91432469698651e-134	0.35387615561442	0.675	0.577	6.64634391546747e-130
CLDN9	1.79063536672145e-147	-0.124957777267784	0.05	0.122	6.21690692972019e-143
CLDND1	8.02430667765108e-41	0.103591003246866	0.222	0.163	2.78595903541368e-36
CLEC2B	1.86941502044547e-138	0.201584873371419	0.132	0.046	6.49042200948464e-134
CLIC1	0	0.758131358341457	0.919	0.744	0
CLIC4	0.00093747551596183	-0.0308641247122801	0.119	0.13	1
CLK1	2.18902850467894e-15	-0.0635059891167212	0.341	0.375	7.60008806539482e-11
CLK4	8.04206972451588e-16	-0.0462244272653839	0.114	0.143	2.79212618765467e-11
CLMN	3.85782214046989e-26	-0.0987490402523432	0.253	0.298	1.33939726894974e-21
CLN5	0.531511726139207	-0.0035694478969247	0.17	0.172	1
CLN6	4.79117318745778e-10	0.0287001634822243	0.112	0.091	1.66344741895347e-05
CLN8	2.21598425628925e-20	-0.0545020555151607	0.11	0.143	7.69367573941064e-16
CLPS	0	-2.61853655392518	0.1	0.894	0
CLPTM1	6.13740781161095e-34	0.0656270576344005	0.256	0.196	2.13084661811321e-29
CLPTM1L	1.02000494706227e-188	0.195745547488394	0.278	0.14	3.54135517570549e-184
CLSTN1	2.13606500930272e-284	0.278090406439955	0.373	0.188	7.41620410579811e-280
CLTC	1.30863500647428e-217	0.259218083613191	0.397	0.232	4.54344987897806e-213
CLU	0	-2.51768426651861	0.427	0.893	0
CMTM4	3.19103961339394e-11	0.0305368769524467	0.131	0.107	1.10789704337424e-06
CMTM6	5.01680449689821e-240	0.28287599044364	0.446	0.268	1.74178435327809e-235
CMTM7	9.47534182722958e-61	-0.125929881684396	0.21	0.283	3.28974392899584e-56
CMTM8	1.07260096226998e-103	0.122324292545899	0.205	0.113	3.72396328090514e-99
CMTR2	0.050389852488357	0.00906736150310911	0.131	0.124	1
CNIH1	2.02808549837917e-191	0.217145056275475	0.376	0.221	7.04131004182262e-187
CNIH4	1.51210491842072e-79	0.128234858158481	0.436	0.326	5.2498770662649e-75
CNOT1	2.89054590571115e-25	0.0507118082490456	0.221	0.172	1.00356863300385e-20
CNPPD1	3.70128720627518e-36	0.0690778074039966	0.178	0.126	1.28504990514668e-31
COA1	1.71145073906289e-05	0.020631565385179	0.201	0.181	0.594198582095246
COA3	2.18781370540516e-117	-0.228874187718887	0.379	0.475	7.59587040379618e-113
COL17A1	0	0.772852027804491	0.282	0.001	0
COL1A1	0	0.604017974970575	0.215	0.037	0
COL1A2	0	0.464100642929499	0.176	0.024	0
COL3A1	0	0.424249996578932	0.167	0.025	0
COL4A2	1.76774015359612e-124	-0.121104430260186	0.067	0.14	6.13741703927036e-120
COL6A1	6.73113844837053e-44	0.187953824330414	0.159	0.108	2.33698395788976e-39
COLGALT1	2.83973851180518e-128	0.114068721622564	0.126	0.044	9.8592881391364e-124
COMT	2.82454797276181e-52	-0.158708677823069	0.433	0.492	9.80654810663173e-48
COMTD1	0	-0.415500505428896	0.358	0.571	0
COX11	1.47930808442036e-09	-0.0448750689808581	0.151	0.175	5.13600973829907e-05
COX14	3.07802368509493e-05	-0.0652188912084913	0.465	0.465	1
COX16	1.04217216281053e-14	0.0299700547585171	0.547	0.483	3.61831753206189e-10
COX4I1	1.67994026112649e-09	-0.0482868586484986	0.961	0.945	5.83258459260507e-05
COX6A1	1.1223453322708e-113	-0.185274845594146	0.842	0.86	3.89667075911099e-109
COX6C	1.91666633236144e-05	0.0727589958873902	0.911	0.885	0.665447383932567
COX7A1	0	-0.321422955581413	0.035	0.192	0
COX7A2	3.5308373842745e-10	-0.0123266543487239	0.888	0.864	1.22587143144626e-05
COX8A	2.49996380561505e-24	-0.0993339684142667	0.862	0.815	8.6796243367149e-20
CP	5.83480199657924e-266	0.429285032265383	0.136	0.019	2.02578490519235e-261
CPD	8.6071567787728e-292	0.309141001258185	0.344	0.162	2.98831876202213e-287
CPM	1.38881924242497e-08	-0.0604741021207912	0.117	0.136	0.000482184152777524
CPQ	5.3980241458644e-209	-0.179096049826101	0.101	0.215	1.87414000320266e-204
CPT1A	0.00829164391253583	0.00762810117152851	0.117	0.107	1
CRB3	1.41427155336872e-82	0.1287200303864	0.355	0.251	4.91020940614085e-78
CREB3	0.0445047323004237	0.0365160737175721	0.209	0.22	1
CREB3L1	0	0.393972411134302	0.318	0.128	0
